"""YGQ""","""CYGQ""",49.77830123901367,-86.93939971923828,"""Geraldton Greenstone Regional Airport"""
"""YGR""","""CYGR""",47.42470169067383,-61.778099060058594,"""Îles-de-la-Madeleine Airport"""
"""YHB""","""CYHB""",52.8166999817,-102.310997009,"""Hudson Bay Airport"""
"""YHD""","""CYHD""",49.831699,-92.744202,"""Dryden Regional Airport"""
"""YHI""","""CYHI""",70.76280212402344,-117.80599975585938,"""Ulukhaktok Holman Airport"""
"""YHK""","""CYHK""",68.635597229,-95.84970092770001,"""Gjoa Haven Airport"""
"""YHM""","""CYHM""",43.173599243199995,-79.93499755859999,"""John C. Munro Hamilton International Airport"""
"""YHU""","""CYHU""",45.5175018311,-73.4169006348,"""Montréal / Saint-Hubert Airport"""
"""YHY""","""CYHY""",60.8396987915,-115.782997131,"""Hay River / Merlyn Carter Airport"""
"""YHZ""","""CYHZ""",44.8807983398,-63.5085983276,"""Halifax / Stanfield International Airport"""
"""YIB""","""CYIB""",48.7738990784,-91.6386032104,"""Atikokan Municipal Airport"""
"""YIO""","""CYIO""",72.6832962036,-77.9666976929,"""Pond Inlet Airport"""
"""YJN""","""CYJN""",45.29439926147461,-73.28109741210938,"""St Jean Airport"""
"""YJT""","""CYJT""",48.5442008972168,-58.54999923706055,"""Stephenville Airport"""
"""YKA""","""CYKA""",50.7022018433,-120.444000244,"""Kamloops Airport"""
"""YKF""","""CYKF""",43.460800170899994,-80.3786010742,"""Waterloo Airport"""
"""YKL""","""CYKL""",54.805301666259766,-66.8052978515625,"""Schefferville Airport"""
"""YKY""","""CYKY""",51.5175018311,-109.180999756,"""Kindersley Airport"""
"""YKZ""","""CYKZ""",43.86220169067383,-79.37000274658203,"""Buttonville Municipal Airport"""
"""YLD""","""CYLD""",47.81999969482422,-83.3467025756836,"""Chapleau Airport"""
"""YLJ""","""CYLJ""",54.125301361083984,-108.52300262451172,"""Meadow Lake Airport"""
"""YLL""","""CYLL""",53.309200286865234,-110.072998046875,"""Lloydminster Airport"""
"""YLT""","""CYLT""",82.51779937740001,-62.2806015015,"""Alert Airport"""
"""YLW""","""CYLW""",49.9561004639,-119.377998352,"""Kelowna International Airport"""
"""YMA""","""CYMA""",63.61640167236328,-135.8679962158203,"""Mayo Airport"""
"""YMJ""","""CYMJ""",50.330299377441406,-105.55899810791016,"""Moose Jaw Air Vice Marshal C. M. McEwen Airport"""
"""YMM""","""CYMM""",56.653301239,-111.222000122,"""Fort McMurray Airport"""
"""YMO""","""CYMO""",51.291099548339844,-80.60780334472656,"""Moosonee Airport"""
"""YMW""","""CYMW""",46.2728004456,-75.9906005859,"""Maniwaki Airport"""
"""YMX""","""CYMX""",45.679501,-74.038696,"""Montreal International (Mirabel) Airport"""
"""YNA""","""CYNA""",50.189998626708984,-61.78919982910156,"""Natashquan Airport"""
"""YND""","""CYND""",45.521701812699995,-75.5635986328,"""Ottawa / Gatineau Airport"""
"""YNM""","""CYNM""",49.76169967651367,-77.80280303955078,"""Matagami Airport"""
"""YOC""","""CYOC""",67.57060241699219,-139.83900451660156,"""Old Crow Airport"""
"""YOD""","""CYOD""",54.404998779296875,-110.27899932861328,"""CFB Cold Lake"""
"""YOJ""","""CYOJ""",58.62139892578125,-117.16500091552734,"""High Level Airport"""
"""YOW""","""CYOW""",45.3224983215332,-75.66919708251953,"""Ottawa Macdonald-Cartier International Airport"""
"""YPA""","""CYPA""",53.214199066199996,-105.672996521,"""Prince Albert Glass Field"""
"""YPE""","""CYPE""",56.226898,-117.446999,"""Peace River Airport"""
"""YPG""","""CYPG""",49.903099,-98.273817,"""Southport Airport"""
\N,"""CYPK""",49.21609878540039,-122.70999908447266,"""Pitt Meadows Airport"""
"""YPL""","""CYPL""",51.4463996887207,-90.21420288085938,"""Pickle Lake Airport"""
"""YPN""","""CYPN""",49.83639907836914,-64.2885971069336,"""Port Menier Airport"""
"""YPQ""","""CYPQ""",44.22999954223633,-78.36329650878906,"""Peterborough Airport"""
"""YPR""","""CYPR""",54.286098480199996,-130.445007324,"""Prince Rupert Airport"""
"""YPY""","""CYPY""",58.7672004699707,-111.11699676513672,"""Fort Chipewyan Airport"""
"""YQA""","""CYQA""",44.974700927734375,-79.30329895019531,"""Muskoka Airport"""
"""YQB""","""CYQB""",46.7911,-71.393303,"""Quebec Jean Lesage International Airport"""
"""YQF""","""CYQF""",52.18220138549805,-113.89399719238281,"""Red Deer Regional Airport"""
"""YQG""","""CYQG""",42.27560043334961,-82.95559692382812,"""Windsor Airport"""
"""YQH""","""CYQH""",60.11640167236328,-128.82200622558594,"""Watson Lake Airport"""
"""YQK""","""CYQK""",49.788299560546875,-94.36309814453125,"""Kenora Airport"""
"""YQL""","""CYQL""",49.6302986145,-112.800003052,"""Lethbridge County Airport"""
"""YQM""","""CYQM""",46.11220169067383,-64.67859649658203,"""Greater Moncton International Airport"""
"""YQQ""","""CYQQ""",49.71080017089844,-124.88700103759766,"""Comox Airport"""
"""YQR""","""CYQR""",50.43190002441406,-104.66600036621094,"""Regina International Airport"""
"""YQT""","""CYQT""",48.37189865112305,-89.32389831542969,"""Thunder Bay Airport"""
"""YQU""","""CYQU""",55.1796989441,-118.885002136,"""Grande Prairie Airport"""
"""YQV""","""CYQV""",51.26470184326172,-102.46199798583984,"""Yorkton Municipal Airport"""
"""YQW""","""CYQW""",52.76919937133789,-108.24400329589844,"""North Battleford Airport"""
"""YQX""","""CYQX""",48.9369010925293,-54.56809997558594,"""Gander International Airport"""
"""YQY""","""CYQY""",46.1614,-60.047798,"""Sydney / J.A. Douglas McCurdy Airport"""
"""YQZ""","""CYQZ""",53.026100158691406,-122.51000213623047,"""Quesnel Airport"""
"""YRB""","""CYRB""",74.7169036865,-94.9693984985,"""Resolute Bay Airport"""
"""YRI""","""CYRI""",47.764400482177734,-69.58470153808594,"""Rivière-du-Loup Airport"""
"""YRJ""","""CYRJ""",48.52000045776367,-72.2656021118164,"""Roberval Airport"""
"""YRM""","""CYRM""",52.4296989441,-114.903999329,"""Rocky Mountain House Airport"""
"""YRT""","""CYRT""",62.8114013672,-92.1157989502,"""Rankin Inlet Airport"""
"""YSB""","""CYSB""",46.625,-80.79889678955078,"""Sudbury Airport"""
"""YSC""","""CYSC""",45.4385986328125,-71.69139862060547,"""Sherbrooke Airport"""
"""YSJ""","""CYSJ""",45.31610107421875,-65.89029693603516,"""Saint John Airport"""
"""YSM""","""CYSM""",60.020301818847656,-111.96199798583984,"""Fort Smith Airport"""
"""YSR""","""CYSR""",72.982201,-84.613602,"""Nanisivik Airport"""
"""YSU""","""CYSU""",46.44060134887695,-63.83359909057617,"""Summerside Airport"""
"""YSY""","""CYSY""",71.9938964844,-125.242996216,"""Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport"""
"""YTE""","""CYTE""",64.2300033569,-76.5267028809,"""Cape Dorset Airport"""
"""YTH""","""CYTH""",55.80110168457031,-97.86419677734375,"""Thompson Airport"""
"""YTR""","""CYTR""",44.118900299072266,-77.5280990600586,"""CFB Trenton"""
"""YTS""","""CYTS""",48.569698333699996,-81.376701355,"""Timmins/Victor M. Power"""
"""YTZ""","""CYTZ""",43.627499,-79.396202,"""Billy Bishop Toronto City Centre Airport"""
"""YUB""","""CYUB""",69.43329620361328,-133.0260009765625,"""Tuktoyaktuk Airport"""
"""YUL""","""CYUL""",45.4706001282,-73.7407989502,"""Montreal / Pierre Elliott Trudeau International Airport"""
"""YUT""","""CYUT""",66.5214004517,-86.22470092770001,"""Repulse Bay Airport"""
"""YUX""","""CYUX""",68.77610015869999,-81.2425,"""Hall Beach Airport"""
"""YUY""","""CYUY""",48.20610046386719,-78.83560180664062,"""Rouyn Noranda Airport"""
"""YVC""","""CYVC""",55.151401519800004,-105.262001038,"""La Ronge Airport"""
"""YVG""","""CYVG""",53.355800628699996,-110.823997498,"""Vermilion Airport"""
"""YVM""","""CYVM""",67.5457992554,-64.03140258789999,"""Qikiqtarjuaq Airport"""
"""YVO""","""CYVO""",48.0532989502,-77.7827987671,"""Val-d'Or Airport"""
"""YVP""","""CYVP""",58.096099853515625,-68.4269027709961,"""Kuujjuaq Airport"""
